Rank,Player,Team,Position,Points,Games,Avg,Teams,Age,Height,College,Years in NFL
27,Najee Harris,PIT,RB,226.7,17,13.3,PIT,24, 6-1,Alabama,0
79,AJ Dillon,GB,RB,151.6,17,8.9,GB,23, 6-0,Boston College,2
86,Elijah Mitchell,SF,RB,146,12,12.2,SF,23, 5-10,Louisiana,0
89,DJ Moore,CAR,WR,144.5,17,8.5,CAR,24, 6-0,Maryland,4
129,Michael Carter,NYJ,RB,118.4,14,8.5,NYJ,22, 5-8,North Carolina,0
166,Michael Badgley,IND,K,102,13,7.9,"LAC, IND",26, 5-10,Miami,4
226,Deonte Harty,NO,WR,77.1,13,5.9,NO,24, 5-6,Assumption,3
237,Nick Westbrook-Ikhine,TEN,WR,69.6,15,4.6,TEN,24, 6-2,Indiana,2
240,Trey Lance,SF,QB,67,6,11.2,SF,21, 6-4,North Dakota State,0
248,Laviska Shenault Jr.,JAC,WR,64,16,4,JAC,23, 6-1,Colorado,2
256,Henry Ruggs III,LV,WR,60.5,7,8.6,LV,23, 6-0,Alabama,2
258,Joshua Palmer,LAC,WR,59.9,15,4,LAC,22, 6-1,Tennessee,0
434,Tony Jones Jr.,NO,RB,17.1,10,1.7,NO,24, 5-11,Notre Dame,1
437,P.J. Walker,CAR,QB,16.8,5,3.4,"IND, CAR",27, 5-11,Temple,2
447,Terrace Marshall Jr.,CAR,WR,15.8,12,1.3,CAR,21, 6-2,LSU,0
455,Larry Rountree III,LAC,RB,14.6,10,1.5,LAC,23, 5-10,Missouri,0
458,Scotty Miller,TB,WR,14.1,6,2.4,TB,24, 5-9,Bowling Green,3
520,KJ Hamler,DEN,WR,7.4,3,2.5,DEN,22, 5-9,Penn State,2
