Rank,Player,Team,Position,Points,Games,Avg,Teams,Age,Height,College,Years in NFL
1,Josh Allen,BUF,QB,417.7,17,24.6,BUF,24, 6-5,Kentucky,3
2,Justin Herbert,LAC,QB,395.6,17,23.3,LAC,24, 6-6,Oregon,2
3,Tom Brady,TB,QB,386.7,17,22.8,"NE, TB",44, 6-4,Michigan,22
4,Patrick Mahomes II,KC,QB,374.2,17,22,KC,26, 6-3,Texas Tech,5
5,Matthew Stafford,LAR,QB,346.8,17,20.4,"DET, LAR",34, 6-3,Georgia,13
6,Aaron Rodgers,GB,QB,336.3,16,21,GB,38, 6-2,California,17
7,Jonathan Taylor,IND,RB,333.1,17,19.6,IND,23, 5-10,Wisconsin,2
8,Dak Prescott,DAL,QB,330.4,16,20.7,DAL,28, 6-2,Mississippi State,6
9,Joe Burrow,CIN,QB,328.1,16,20.5,CIN,25, 6-4,LSU,2
10,Jalen Hurts,PHI,QB,321.2,15,21.4,PHI,23, 6-1,Oklahoma,2
11,Kyler Murray,ARI,QB,310.5,14,22.2,ARI,24, 5-10,Oklahoma,3
12,Kirk Cousins,MIN,QB,307.3,16,19.2,"WAS, MIN",33, 6-3,Michigan State,10
13,Cooper Kupp,LAR,WR,294.5,17,17.3,LAR,28, 6-2,Eastern Washington,5
14,Ryan Tannehill,TEN,QB,282.3,17,16.6,"MIA, TEN",33, 6-4,Texas A&M,10
15,Austin Ekeler,LAC,RB,273.8,16,17.1,LAC,26, 5-10,Western State,5
16,Derek Carr,LV,QB,270.6,17,15.9,LV,30, 6-3,Fresno State,8
17,Carson Wentz,IND,QB,264.9,17,15.6,"PHI, IND",29, 6-5,North Dakota State,6
18,Deebo Samuel,SF,WR,262,16,16.4,SF,26, 6-0,South Carolina,3
19,Lamar Jackson,BAL,QB,253,12,21.1,BAL,25, 6-2,Louisville,4
20,Russell Wilson,SEA,QB,248.7,14,17.8,SEA,33, 5-11,Wisconsin,10
21,Joe Mixon,CIN,RB,245.9,16,15.4,CIN,25, 6-1,Oklahoma,5
22,Jimmy Garoppolo,SF,QB,239.5,15,16,"NE, SF",30, 6-2,Eastern Illinois,8
23,Mac Jones,NE,QB,238,17,14,NE,23, 6-3,Alabama,0
24,Taylor Heinicke,WAS,QB,236.7,16,14.8,"MIN, HOU, CAR, WAS",29, 6-1,Old Dominion,4
25,Matt Ryan,ATL,QB,234.8,17,13.8,ATL,36, 6-4,Boston College,14
26,Ben Roethlisberger,PIT,QB,228,16,14.3,PIT,40, 6-5,Miami (Ohio),18
27,Najee Harris,PIT,RB,226.7,17,13.3,PIT,24, 6-1,Alabama,0
28,Ja'Marr Chase,CIN,WR,223.6,17,13.2,CIN,22, 6-0,LSU,0
29,Justin Jefferson,MIN,WR,222.4,17,13.1,MIN,22, 6-1,LSU,2
30,Davante Adams,GB,WR,221.3,16,13.8,GB,29, 6-1,Fresno State,8
31,James Conner,ARI,RB,220.7,15,14.7,"PIT, ARI",26, 6-1,Pittsburgh,5
32,Trevor Lawrence,JAC,QB,216,17,12.7,JAC,22, 6-6,Clemson,0
33,Teddy Bridgewater,DEN,QB,209.8,14,15,"MIN, NO, CAR, DEN",29, 6-2,Louisville,8
34,Ezekiel Elliott,DAL,RB,205.1,17,12.1,DAL,26, 6-0,Ohio State,6
35,Jared Goff,DET,QB,202.4,14,14.5,"LAR, DET",27, 6-4,California,6
36,Nick Chubb,CLE,RB,195.3,14,14,CLE,26, 5-11,Georgia,4
37,Mark Andrews,BAL,TE,194.1,17,11.4,BAL,26, 6-5,Oklahoma,4
38,Baker Mayfield,CLE,QB,193.8,14,13.8,CLE,26, 6-1,Oklahoma,4
39,Damien Harris,NE,RB,192.1,15,12.8,NE,25, 5-11,Alabama,3
40,Tua Tagovailoa,MIA,QB,190.9,13,14.7,MIA,24, 6-1,Alabama,2
41,Mike Evans,TB,WR,188.5,16,11.8,TB,28, 6-5,Texas A&M,8
42,Alvin Kamara,NO,RB,187.7,13,14.4,NO,26, 5-10,Tennessee,5
43,Antonio Gibson,WAS,RB,187.1,16,11.7,NO,23, 6-3,Cincinnati,5
44,Leonard Fournette,TB,RB,186.6,14,13.3,"JAC, TB",27, 6-0,LSU,5
45,Tyreek Hill,KC,WR,185.5,17,10.9,KC,28, 5-10,West Alabama,6
47,Cordarrelle Patterson,ATL,RB,182.6,16,11.4,"MIN, LV, NE, CHI, ATL",31, 6-2,Tennessee,9
48,Stefon Diggs,BUF,WR,182.5,17,10.7,"MIN, BUF",28, 6-0,Maryland,7
49,Aaron Jones,GB,RB,177,15,11.8,GB,27, 5-9,Texas-El Paso,5
