
132,A.J. Brown,TEN,WR,117.9,13,9.1,TEN
149,K.J. Osborn,MIN,WR,108.5,17,6.4,MIN
163,A.J. Green,ARI,WR,102.8,16,6.4,"CIN, ARI"
207,J.D. McKissic,WAS,RB,84.9,11,7.7,"SEA, DET, WAS"
212,T.J. Hockenson,DET,TE,84.3,12,7,DET
220,C.J. Uzomah,CIN,TE,79.3,16,5,CIN
288,T.Y. Hilton,IND,WR,51.1,10,5.1,IND
387,D.J. Chark Jr.,JAC,WR,27.4,3,9.1,JAC
421,O.J. Howard,TB,TE,19.5,11,1.8,TB
445,C.J. Ham,MIN,RB,15.9,15,1.1,MIN
456,J.J. Taylor,NE,RB,14.5,5,2.9,NE
508,Keith Smith,ATL,RB,8.7,13,0.7,"DAL, LV, ATL"
519,Andre Roberts,Multi,WR,7.4,16,0.5,"ARI, WAS, DET, ATL, NYJ, BUF, LAC"
527,Ja'Marcus Bradley,CLE,WR,6.4,4,1.6,CLE
530,C.J. Board,NYG,WR,5.7,6,1,"JAC, NYG"
538,Mike Thomas,CIN,WR,5.2,7,0.7,"WAS, LAC"
541,Josh Lambo,JAC,K,5,3,1.7,"LAC, JAC, PIT"
