Rank,Player,Team,Position,Points,Games,Avg
92,James Robinson,JAC,RB,142.9,14,10.2
129,Michael Carter,NYJ,RB,118.4,14,8.5
132,A.J. Brown,TEN,WR,117.9,13,9.1
149,K.J. Osborn,MIN,WR,108.5,17,6.4
163,A.J. Green,ARI,WR,102.8,16,6.4
166,Michael Badgley,Multi,K,102,13,7.9
207,J.D. McKissic,WAS,RB,84.9,11,7.7
212,T.J. Hockenson,DET,TE,84.3,12,7
220,C.J. Uzomah,CIN,TE,79.3,16,5
226,Deonte Harty,NO,WR,77.1,13,5.9
237,Nick Westbrook-Ikhine,TEN,WR,69.6,15,4.6
240,Trey Lance,SF,QB,67,6,11.2
248,Laviska Shenault Jr.,JAC,WR,64,16,4
256,Henry Ruggs III,LV,WR,60.5,7,8.6
258,Joshua Palmer,LAC,WR,59.9,15,4
288,T.Y. Hilton,IND,WR,51.1,10,5.1
319,Brian Johnson,Multi,K,42,8,5.3
387,D.J. Chark Jr.,JAC,WR,27.4,3,9.1
421,O.J. Howard,TB,TE,19.5,11,1.8
434,Tony Jones Jr.,NO,RB,17.1,10,1.7
437,P.J. Walker,CAR,QB,16.8,5,3.4
445,C.J. Ham,MIN,RB,15.9,15,1.1
447,Terrace Marshall Jr.,CAR,WR,15.8,12,1.3
455,Larry Rountree III,LAC,RB,14.6,10,1.5
456,J.J. Taylor,NE,RB,14.5,5,2.9
458,Scotty Miller,TB,WR,14.1,6,2.4
508,Keith Smith,ATL,RB,8.7,13,0.7
519,Andre Roberts,Multi,WR,7.4,16,0.5
520,KJ Hamler,DEN,WR,7.4,3,2.5
527,Ja'Marcus Bradley,CLE,WR,6.4,4,1.6
530,C.J. Board,NYG,WR,5.7,6,1
538,Mike Thomas,CIN,WR,5.2,7,0.7
541,Josh Lambo,JAC,K,5,3,1.7
